key,scope,type,chinese,english,baidu,caiyun,volcengine,youdao,tencent
auto,M,L,检测语言,detect language,auto,auto,,auto,auto
abk,I,L,阿布哈西亚语,Abkhazian,,,ab,,
afr,I,L,南非荷兰语,Afrikaans,,,af,af,
amh,I,L,阿姆哈拉语,Amharic,,,am,am,
ara,M,L,阿拉伯语,Arabic,ara,,ar,ar,ar|eng
aym,M,L,艾马拉语,Aymara,,,ay,,
aze,M,L,阿塞拜疆语,Azerbaijani,,,az,az,
bak,I,L,巴什基尔语,Bashkir,,,ba,,
bel,I,L,白俄罗斯语,Belarusian,,,,be,
ben,I,L,孟加拉语,Bengali,,,bn,bn,
bis,I,L,比斯拉马语,Bislama,,,bi,,
bos,I,L,波斯尼亚语,Bosnian,,,bs,bs,
bul,I,L,保加利亚语,Bulgarian,bul,,bg,bg,
cat,I,L,加泰罗尼亚语,Catalan,,,ca,ca,
ceb,I,L,宿务语,Cebuano,,,,ceb,
ces,I,L,捷克语,Czech,cs,,cs,cs,
chv,I,L,楚瓦什语,Chuvash,,,cv,,
ckb,I,L,中库尔德语,Central Kurdish,,,ckb,,
cmn,I,L,中文,Mandarin Chinese,zh,zh,zh,zh-CHS,"zh|eng,jpn,kor,fra,spa,ita,deu,tur,rus,spa,vie,ind,tha,msa"
cos,I,L,科西嘉语,Corsican,,,,co,
csx,I,L,高棉语,Cambodian Sign Language,,,km,km,
cym,I,L,威尔士语,Welsh,,,cy,cy,
dan,I,L,丹麦语,Danish,dan,,da,da,
deu,I,L,德语,German,de,,de,de,"de|cmn,eng,fra,spa,ita,tur,rus,spa"
ell,I,L,希腊语,Modern Greek,el,,el,el,
eng,I,L,英语,English,en,en,en,en,"en|cmn,jpn,kor,fra,spa,ita,deu,tur,rus,spa,vie,ind,tha,msa,ara,hin"
epo,I,C,世界语,Esperanto,,,nb,eo,
est,M,L,爱沙尼亚语,Estonian,est,,et,et,
eus,I,L,巴斯克语,Basque,,,,eu,
ewe,I,L,埃维语,Ewe,,,ee,,
fas,M,L,波斯语,Persian,,,fa,fa,
fij,I,L,斐济语,Fijian,,,fj,fj,
fil,I,L,菲律宾语,Filipino,,,,tl,
fin,I,L,芬兰语,Finnish,fin,,fi,fi,
fra,I,L,法语,French,fra,fr,fr,fr,"fr|cmn,eng,spa,ita,deu,tur,rus,spa"
fry,I,L,西弗里西亚语,Western Frisian,,,,fy,
gla,I,L,苏格兰盖尔语,Scottish Gaelic,,,,gd,
gle,I,L,爱尔兰语,Irish,,,,ga,
glg,I,L,加利西亚语,Galician,,,gl,gl,
guj,I,L,古吉拉特语,Gujarati,,,gu,gu,
hat,I,L,海地克里奥尔语,Haitian,,,ht,ht,
hau,I,L,豪萨语,Hausa,,,ha,ha,
haw,I,L,夏威夷语,Hawaiian,,,,haw,
heb,I,L,希伯来语,Hebrew,,,he,he,
her,I,L,希里莫图语,Herero,,,ho,,
hin,I,L,印地语,Hindi,,,hi,hi,hi|eng
hmn,M,L,苗语,Hmong,,,,mww,
hrv,I,L,克罗地亚语,Croatian,,,hr,hr,
hun,I,L,匈牙利语,Hungarian,hu,,hu,hu,
hye,I,L,亚美尼亚语,Armenian,,,hy,hy,
ibo,I,L,伊博语,Igbo,,,ig,ig,
iks,I,L,因纽特语,Inuit Sign Language,,,iu,,
ind,I,L,印度尼西亚语,Indonesian,,,id,id,"id|cmn,eng"
isl,I,L,冰岛语,Icelandic,,,,is,
ita,I,L,意大利语,Italian,it,,it,it,"it|cmn,eng,fra,spa,deu,tur,rus,spa"
jav,I,L,爪哇语,Javanese,,,,jw,
jpn,I,L,日语,Japanese,jp,ja,ja,ja,"ja|cmn,eng,kor"
kal,I,L,格陵兰语,Kalaallisut,,,kl,,
kan,I,L,卡纳达语,Kannada,,,kn,kn,
kat,I,L,格鲁吉亚语,Georgian,,,ka,ka,
kaz,I,L,哈萨克语,Kazakh,,,,kk,
kik,I,L,吉库尤语,Kikuyu,,,ki,,
kir,I,L,柯尔克孜语,Kirghiz,,,,ky,
kmr,I,L,北库尔德语,Northern Kurdish,,,kmr,,
kon,M,L,刚果语,Congo,,,kg,,
kor,I,L,韩语,Korean,kor,,ko,ko,"ko|cmn,eng,jpn"
kua,I,L,宽亚玛语,Kuanyama,,,kj,,
kur,M,L,库尔德语,Kurdish,,,,ku,
lao,I,L,老挝语,Lao,,,lo,lo,
lat,I,A,拉丁语,Latin,,,,la,
lav,M,L,拉脱维亚语,Latvian,,,lv,lv,
lin,I,L,林加拉语,Lingala,,,ln,,
lit,I,L,立陶宛语,Lithuanian,,,lt,lt,
ltz,I,L,卢森堡语,Luxembourgish,,,,lb,
lug,I,L,卢干达语,Ganda,,,lg,,
mah,I,L,马绍尔语,Marshallese,,,mh,,
mal,I,L,马拉雅拉姆语,Malayalam,,,ml,ml,
mar,I,L,马拉地语,Marathi,,,mr,mr,
mkd,I,L,马其顿语,Macedonian,,,mk,mk,
mlg,M,L,马拉加斯语,Malagasy,,,,mg,
mlt,I,L,马耳他语,Maltese,,,,mt,
mon,M,L,蒙古语,Mongolian,,,mn,mn,
mri,I,L,毛利语,Maori,,,,mi,
msa,M,L,马来语,Malay (macrolanguage),,,ms,ms,"ms|cmn,eng"
mya,I,L,缅甸语,Burmese,,,my,my,
nbl,I,L,南恩德贝勒语,South Ndebele,,,nr,,
nde,I,L,北恩德贝勒语,North Ndebele,,,nd,,
ndo,I,L,恩东加语,Ndonga,,,ng,,
nep,M,L,尼泊尔语,Nepali (macrolanguage),,,,ne,
nld,I,L,荷兰语,Dutch,nl,,nl,nl,
nor,M,L,挪威语,Norwegian,,,no,no,
nso,I,L,北索托语,Pedi,,,nso,,
nya,I,L,齐切瓦语,Nyanja,,,ny,ny,
och,I,L,繁体中文,Traditional Chinese,cht,,zh-Hant,zh-CHT,"zh-TW|eng,jpn,kor,fra,spa,ita,deu,tur,rus,spa,vie,ind,tha,msa"
orm,M,L,奥罗莫语,Oromo,,,om,,
oss,I,L,奥塞梯语,Ossetian,,,os,,
otq,I,L,克雷塔罗奥托米语,Querétaro Otomi,,,,otq,
pan,I,L,旁遮普语,Panjabi,,,pa,pa,
pol,I,L,波兰语,Polish,pl,,pl,pl,
por,I,L,葡萄牙语,Portuguese,pt,,pt,pt,"pt|cmn,eng,fra,spa,ita,deu,tur,rus"
pus,M,L,普什图语,Pushto,,,,ps,
qaa,I,H,文言文,Literary Chinese,wyw,,lzh,,
que,M,L,克丘亚语,Quechua,,,qu,,
ron,I,L,罗马尼亚语,Romanian,rom,,ro,ro,
rsb,I,L,塞尔维亚语(拉丁文),Romano-Serbian,,,,sr-Latn,
rub,I,L,鲁巴加丹加语,Gungu,,,lu,,
rus,I,L,俄语,Russian,ru,ru,ru,ru,"ru|cmn,eng,fra,spa,ita,deu,tur,spa"
sag,I,L,桑戈语,Sango,,,sg,,
sin,I,L,僧伽罗语,Sinhala,,,,si,
slk,I,L,斯洛伐克语,Slovak,,,sk,sk,
slv,I,L,斯洛文尼亚语,Slovenian,slo,,sl,sl,
smo,I,L,萨摩亚语,Samoan,,,sm,sm,
sna,I,L,绍纳语,Shona,,,sn,sn,
snd,I,L,信德语,Sindhi,,,,sd,
som,I,L,索马里语,Somali,,,so,so,
sot,I,L,南索托语,Southern Sotho,,,st,st,
spa,I,L,西班牙语,Spanish,spa,es,es,es,"es|cmn,eng,fra,ita,deu,tur,rus,spa"
sqi,M,L,阿尔巴尼亚语,Albanian,,,sq,sq,
srp,I,L,塞尔维亚语,Serbian,,,sr,sr-Cyrl,
ssw,I,L,斯瓦蒂语,Swati,,,ss,,
sun,I,L,巽他语,Sundanese,,,,su,
swe,I,L,瑞典语,Swedish,swe,,sv,sv,
swh,I,L,斯瓦希里语,Swahili,,,sw,sw,
tah,I,L,塔希提语,Tahitian,,,ty,ty,
tam,I,L,泰米尔语,Tamil,,,ta,ta,
tat,I,L,鞑靼语,Tatar,,,tt,,
tel,I,L,泰卢固语,Telugu,,,te,te,
tgk,I,L,塔吉克语,Tajik,,,,tg,
tgl,I,L,他加禄语,Tagalog,,,tl,,
tha,I,L,泰语,Thai,th,,th,th,"th|cmn,eng"
tir,I,L,提格利尼亚语,Tigrinya,,,ti,,
tlh,I,C,克林贡语,Klingon,,,,tlh,
ton,I,L,汤加语,Tonga (Tonga Islands),,,to,to,
tsn,I,L,茨瓦纳语,Tswana,,,tn,,
tso,I,L,聪加语,Tsonga,,,ts,,
tuk,I,L,土库曼语,Turkmen,,,tk,,
tur,I,L,土耳其语,Turkish,,,tr,tr,"tr|cmn,eng,fra,spa,ita,deu,rus,spa"
twi,I,L,契维语,Twi,,,tw,,
ukr,I,L,乌克兰语,Ukrainian,,,uk,uk,
urd,I,L,乌尔都语,Urdu,,,ur,ur,
uzb,M,L,乌兹别克语,Uzbek,,,,uz,
vie,I,L,越南语,Vietnamese,vie,,vi,vi,"vi|cmn,eng"
xho,I,L,科萨语,Xhosa,,,xh,xh,
yid,M,L,意第绪语,Yiddish,,,,yi,
